DMID  PAIR_NAME  RA_+_DEC        z         zerr           NII6583        unc       Halpha         unc         Hbeta          unc       OIII5007        unc          Z
I046  dm1142+52  114257.39+522756.0  0.0295455  0.0000055      329.911        4.471     1206.640       10.735      319.622        5.152      367.563        5.843        8.839
I047  dm0901+12  090133.86+123931.8  0.0197738  0.0000065      117.053        2.200     1036.350        8.594      304.324        4.189      605.396        6.493        8.554
I048  dm0901+12  090130.45+123943.7  0.0193220  0.0000067      109.614        2.337      502.347        5.272      137.329        3.151      108.043        3.015        8.753
I049  dm0930+60  093009.04+602805.3  0.0135472  0.0000036       68.524        2.029      934.992        9.127      289.588        4.776      751.131        8.424        8.177
I050  dm0930+60  093006.43+602653.3  0.0136588  0.0000062      226.637        3.328     8243.831       67.761     2778.549       25.015    13628.761      107.873        8.072
I051  dm1237+18  123745.89+181750.2  0.0085173  0.0000051       20.096        1.217      647.471        5.570      223.563        3.495      555.681        5.513        7.919
I052  dm1237+18  123743.70+181556.0  0.0084906  0.0000083        7.735        1.006       87.053        1.793       32.443        1.764       26.805        1.792        8.195
I053  dm1403+41  140313.75+413634.2  0.0352923  0.0000054       62.768        2.480      782.785        8.559      228.714        4.821      534.981        8.036        8.211
I054  dm1403+41  140312.96+413702.4  0.0354220  0.0000064       26.732        1.681      260.670        3.841       89.144        3.364      174.765        4.317        8.313
I055  dm1007+55  100725.96+553018.1  0.0325443  0.0000076      223.281        3.008     1059.499        8.591      284.285        3.862      370.335        4.790        8.723
I056  dm1007+55  100721.95+553009.5  0.0327019  0.0000057       27.007        1.710      250.906        3.215       84.940        2.687      135.234        3.322        8.272
I057  dm0820+03  082058.49+034522.5  0.0517816  0.0000055      115.810        2.587      458.815        4.967      113.367        3.144       86.312        3.040        8.841
I058  dm0820+03  082057.60+034503.4  0.0517262  0.0000072      161.103        2.688     1983.249       14.984      509.079        6.342     1779.084       14.968        8.589
I059  dm1338+22  133856.52+224350.7  0.0163047  0.0000042       43.688        1.402      853.783        7.277      300.689        4.030      874.218       10.116        8.109
I060  dm1338+22  133853.96+224454.5  0.0163443  0.0000051       10.287        0.968      153.512        2.087       53.070        1.842      101.456        2.379        8.148
I061  dm1319+55  131944.22+554631.4  0.0759039  0.0000062      585.982        5.970     1655.921       16.295      409.171        6.055      354.924        6.058        8.960
I062  dm1319+55  131943.36+554647.8  0.0758627  0.0000057       89.935        2.156      745.289       10.446      224.579        4.421      513.234        7.224        8.621
I063  dm1418+21  141854.90+210017.3  0.0086462  0.0000205        2.344        1.124       30.802        1.652        7.270        1.916        7.352        1.879      -99.900
I064  dm1418+21  141851.12+210239.7  0.0085465  0.0000042       46.961        1.565     6710.107       44.704     2213.645       15.801    10084.731       76.286        7.693
I065  dm1718+30  171853.44+301136.2  0.0148327  0.0000070     2286.822       16.936    15521.917      105.145     4047.046       33.491    12292.147       90.721        8.927
I066  dm1718+30  171849.22+301013.4  0.0147682  0.0000048       94.545        2.268      682.554        7.174      220.634        4.082      432.710        5.997        8.609
I067  dm0909+06  090917.28+065133.8  0.0467696  0.0000063      162.698        3.401      490.870        6.128      148.374        3.970       96.970        3.684        8.909
I068  dm0909+06  090915.51+065113.6  0.0460323  0.0000050      305.788        4.778     1476.250       12.996      385.538        6.396      657.083        8.807        8.773
I069  dm1520+01  152027.90+013857.8  0.0258165  0.0000044       76.992        2.081      878.964        8.044      261.039        4.600      643.137        7.627        8.291
I070  dm1520+01  152026.71+013801.1  0.0255983  0.0000070      236.219        4.556     1111.896       10.579      352.561        6.182      414.701        7.322        8.728
I071  dm2227-09  222741.55-094336.8  0.0054816  0.0000083        5.910        0.984       68.001        1.545       17.418        1.359       12.754        1.384      -99.900
I072  dm2227-09  222730.70-093953.9  0.0056638  0.0000045       39.719        1.255     1186.271        9.624      374.015        4.732     1495.216       14.992        8.040
I073  dm0744+21  074423.80+210032.7  0.0287696  0.0000070       72.180        2.158      441.216        4.931      124.850        3.425      170.611        4.035        8.699
I074  dm0744+21  074421.65+205943.0  0.0285099  0.0000067      308.671        5.391     1353.517       13.772      366.226        6.508      374.008        7.336        8.818
I075  dm1616+34  161622.68+345405.2  0.0089338  0.0000052        8.411        1.193      208.841        2.988       66.436        2.236       83.731        2.552        7.914
I076  dm1616+34  161621.88+345706.1  0.0089909  0.0000056        7.918        1.163      212.545        2.975       75.264        2.511      189.274        3.454        8.028
I077  dm1523+36  152301.17+360758.1  0.0233965  0.0000053       23.687        1.325      266.212        3.071       86.890        2.467      196.848        3.382        8.245
I078  dm1523+36  152300.83+360645.9  0.0233653  0.0000045       60.074        1.671      769.711        6.376      260.646        3.791      730.982        7.040        8.233
I079  dm1231+06  123139.20+064122.3  0.0305659  0.0000051       17.417        1.211      271.738        3.221       66.619        2.469      235.158        3.990        8.274
I080  dm1231+06  123135.66+064152.3  0.0304571  0.0000051       22.998        1.331      309.876        3.687       95.878        2.820      262.523        4.357        8.254
I081  dm2358+14  235848.16+144429.9  0.0273588  0.0000054       60.706        1.709      776.910        6.801      244.421        3.792      575.419        6.595        8.167
I082  dm2358+14  235845.35+144525.7  0.0272920  0.0000063       91.724        1.686     1254.538       10.630      395.574        4.722     1331.438       11.247        8.436
I083  dm1526+24  152605.23+241418.0  0.0529767  0.0000070       72.183        1.979      311.860        3.954       92.714        2.793       93.282        3.028        8.800
I084  dm1526+24  152604.71+241456.4  0.0529971  0.0000101       17.654        1.421       93.935        2.465       26.113        2.218       45.287        2.540        8.564
I085  dm1202+33  120202.83+333712.9  0.0242166  0.0000070       82.541        1.515      382.957        3.201      124.915        2.436      118.139        2.335        8.733
I086  dm1202+33  120157.99+333812.4  0.0237374  0.0000086      169.943        3.252      514.080        6.197      131.952        3.566       51.272        2.913        8.954
I087  dm1623+15  162316.37+154711.4  0.0342862  0.0000050       27.019        1.234      215.535        2.680       63.234        2.199      115.696        2.806        8.404
I088  dm1623+15  162316.57+154811.9  0.0334612  0.0000065       54.072        1.293      709.728        5.942      194.051        3.203      635.140        6.129        8.230
